,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
mundo,0.5,0.5,0.0,-0.5,8265,2,0.0,0.8048962694080316,red
mano,0.5,0.5,0.0,-0.5,11449,6,4.912297076077972,1.1158012459693774,red
pagar,0.5,0.5,0.0,-0.5,120,2,0.0,0.00956931146451378,red
anos,0.75,0.0,0.25,-0.5,11182,4,2.4561485380389865,1.0897297545303448,red
van,0.5,0.5,0.0,-0.5,4472,2,0.0,0.43452485731720736,red
ustedes,0.5,0.5,0.0,-0.5,435,2,0.0,0.04032781260045093,red
pilotos,0.5,0.5,0.0,-0.5,2595,2,0.0,0.25124324896116285,red
telefono,0.5,0.5,0.0,-0.5,302,2,0.0,0.027340889898610804,red
puedo,0.5,0.5,0.0,-0.5,353,2,0.0,0.032320837701572055,red
reserva,0.75,0.0,0.25,-0.5,518,4,2.4561485380389865,0.04843243353468199,red
cabina,0.5,0.5,0.0,-0.5,1043,2,0.0,0.09969660209457726,red
pues,0.6,0.3,0.1,-0.5,11099,10,9.824594152155946,1.0816251335961138,red
algun,0.5,0.5,0.0,-0.5,1066,2,0.0,0.10194246090767743,red
sale,0.5,0.5,0.0,-0.5,580,2,0.0,0.05448648772651724,red
vosotros,0.75,0.0,0.25,-0.5,3439,4,2.4561485380389865,0.333656502798404,red
informacion,0.5,0.5,0.0,-0.5,455,2,0.0,0.04228073330749456,red
favor,0.5,0.5,0.0,-0.5,5061,2,0.0,0.4920383721396423,red
ano,0.5714285714285714,0.35714285714285715,0.07142857142857142,-0.5,23518,14,14.736891228233919,2.294291246634855,red
hace,0.7142857142857143,0.07142857142857142,0.21428571428571427,-0.5,11651,14,14.736891228233919,1.135525745110518,red
equipaje,0.5,0.5,0.0,-0.5,13335,6,4.912297076077972,1.2999616686435913,red
estan,0.75,0.0,0.25,-0.5,2775,4,2.4561485380389865,0.2688195353245555,red
tan,0.7619047619047619,0.0,0.23809523809523808,-0.5238095238095237,15187,21,23.33341111137037,1.4808021261158313,red
hola,0.5555555555555556,0.4444444444444444,0.0,-0.5555555555555556,7208,9,8.596519883136454,0.7016844100407759,red
maleta,0.6666666666666666,0.2222222222222222,0.1111111111111111,-0.5555555555555556,2582,9,8.596519883136454,0.2499738505015845,red
vuelo,0.6875,0.1875,0.125,-0.5625,286032,48,56.49141637489669,27.927742571077417,red
habeis,0.6,0.4,0.0,-0.6,45402,5,3.68422280705848,4.431177084281994,red
dos,0.7,0.2,0.1,-0.6,53459,20,22.10533684235088,5.21791119111452,red
menos,0.8,0.0,0.2,-0.6000000000000001,2335,5,3.68422280705848,0.22585527976959568,red
despues,0.8,0.0,0.2,-0.6000000000000001,9246,5,3.68422280705848,0.9006870300885216,red
mas,0.7142857142857143,0.2,0.08571428571428572,-0.6285714285714286,32303,35,40.526450877643285,3.152111667203769,red
facturar,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,8551,6,4.912297076077972,0.8328230355187555,red
precio,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,597,3,1.228074269019493,0.05614647032750433,red
politica,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,11463,3,1.228074269019493,1.1171682904643079,red
dinero,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,2611,3,1.228074269019493,0.25280558552679777,red
respuesta,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,632,3,1.228074269019493,0.05956408156483068,red
huelga,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,5717,6,4.912297076077972,0.5560941713306733,red
aeropuerto,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,83158,6,4.912297076077972,8.117900795038956,red
compania,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,1254,3,1.228074269019493,0.12029991555388753,red
comprar,0.6666666666666666,0.3333333333333333,0.0,-0.6666666666666666,666,3,1.228074269019493,0.06288404676680484,red
siempre,0.7777777777777778,0.1111111111111111,0.1111111111111111,-0.6666666666666667,3936,9,8.596519883136454,0.38218658236843817,red
asi,0.85,0.0,0.15,-0.7,14569,20,22.10533684235088,1.4204568762681833,red
ser,0.8235294117647058,0.058823529411764705,0.11764705882352941,-0.7058823529411764,9797,17,18.421114035292398,0.9544899955675735,red
ver,0.8095238095238095,0.09523809523809523,0.09523809523809523,-0.7142857142857143,7035,21,23.33341111137037,0.6847916459248484,red
tras,0.782608695652174,0.17391304347826086,0.043478260869565216,-0.7391304347826088,35100,23,25.78955964940936,3.42522762808382,red
avion,0.8333333333333334,0.08333333333333333,0.08333333333333333,-0.75,13267,12,12.280742690194932,1.293321738239643,red
deja,0.75,0.25,0.0,-0.75,3499,4,2.4561485380389865,0.3395152649195349,red
ademas,0.75,0.25,0.0,-0.75,832,4,2.4561485380389865,0.07909328863526698,red
mal,0.8095238095238095,0.14285714285714285,0.047619047619047616,-0.7619047619047619,15022,21,23.33341111137037,1.4646905302827216,red
asiento,0.8888888888888888,0.0,0.1111111111111111,-0.7777777777777777,2483,9,8.596519883136454,0.24030689300171854,red
verguenza,0.8333333333333334,0.16666666666666666,0.0,-0.8333333333333334,3758,6,4.912297076077972,0.36480558807574986,red
vez,0.8333333333333334,0.16666666666666666,0.0,-0.8333333333333334,1460,6,4.912297076077972,0.1404149988364369,red
dia,0.875,0.125,0.0,-0.875,2634,8,7.368445614116959,0.25505144433989796,red
atencion,1.0,0.0,0.0,-1.0,1940,4,2.4561485380389865,0.18728509580548403,red
asientos,1.0,0.0,0.0,-1.0,2358,6,4.912297076077972,0.22810113858269584,red
trato,1.0,0.0,0.0,-1.0,5049,2,0.0,0.4908666197154161,red
vamos,1.0,0.0,0.0,-1.0,625,2,0.0,0.05888055931736541,red
verdad,1.0,0.0,0.0,-1.0,2700,3,1.228074269019493,0.2614960826731419,red
ahora,1.0,0.0,0.0,-1.0,2085,5,3.68422280705848,0.20144377093155033,red
esperando,1.0,0.0,0.0,-1.0,3719,8,7.368445614116959,0.36099739269701475,red
pasajero,1.0,0.0,0.0,-1.0,8762,3,1.228074269019493,0.8534263489780657,red
servicio,1.0,0.0,0.0,-1.0,7731,5,3.68422280705848,0.7527532865299666,red
saber,1.0,0.0,0.0,-1.0,1171,5,3.68422280705848,0.11219529461965648,red
hacer,1.0,0.0,0.0,-1.0,2163,6,4.912297076077972,0.20906016168902047,red
hora,1.0,0.0,0.0,-1.0,14557,22,24.56148538038987,1.419285123843957,red
horas,1.0,0.0,0.0,-1.0,2217,6,4.912297076077972,0.21433304759803826,red
igual,1.0,0.0,0.0,-1.0,361,3,1.228074269019493,0.033102005984389504,red
intentando,1.0,0.0,0.0,-1.0,1292,3,1.228074269019493,0.12401046489727041,red
dicen,1.0,0.0,0.0,-1.0,996,3,1.228074269019493,0.09510723843302471,red
dias,1.0,0.0,0.0,-1.0,832,2,0.0,0.07909328863526698,red
linea,1.0,0.0,0.0,-1.0,13024,2,0.0,1.2695937516490627,red
maletas,1.0,0.0,0.0,-1.0,2045,4,2.4561485380389865,0.19753792951746307,red
minutos,1.0,0.0,0.0,-1.0,189,3,1.228074269019493,0.0163068879038143,red
muchas,1.0,0.0,0.0,-1.0,2181,3,1.228074269019493,0.21081779032535974,red
decir,1.0,0.0,0.0,-1.0,844,3,1.228074269019493,0.08026504105949313,red
cliente,1.0,0.0,0.0,-1.0,1571,5,3.68422280705848,0.15125370876052904,red
pago,1.0,0.0,0.0,-1.0,12360,2,0.0,1.2047567841752143,red
parece,1.0,0.0,0.0,-1.0,986,3,1.228074269019493,0.09413077807950292,red
pasa,1.0,0.0,0.0,-1.0,9381,8,7.368445614116959,0.9138692448610661,red
esperar,1.0,0.0,0.0,-1.0,8803,2,0.0,0.8574298364275053,red
pasajeros,1.0,0.0,0.0,-1.0,566,2,0.0,0.053119443231586704,red
podeis,1.0,0.0,0.0,-1.0,1504,4,2.4561485380389865,0.1447114243919329,red
primer,1.0,0.0,0.0,-1.0,1030,4,2.4561485380389865,0.09842720363499889,red
problema,1.0,0.0,0.0,-1.0,3678,5,3.68422280705848,0.35699390524757535,red
puerta,1.0,0.0,0.0,-1.0,9255,5,3.68422280705848,0.9015658444066912,red
quiero,1.0,0.0,0.0,-1.0,22,2,0.0,0.0,red
reclamacion,1.0,0.0,0.0,-1.0,404,2,0.0,0.03730078550453331,red
retraso,1.0,0.0,0.0,-1.0,5397,10,9.824594152155946,0.5248474400179752,red
acabo,1.0,0.0,0.0,-1.0,1057,3,1.228074269019493,0.10106364658950778,red
