,negative,neutral,positive,sentiment,reach,freq,freq_n,reach_n,color
habeis,0.7941176470588235,0.11764705882352941,0.08823529411764706,-0.7058823529411764,38778,34,0.3863732342260226,0.7685063668962666,red
respuesta,0.7966101694915254,0.11864406779661017,0.0847457627118644,-0.711864406779661,20169,59,5.21603866205131,0.39105816341840693,red
servicio,0.825,0.0625,0.1125,-0.7124999999999999,37586,80,9.27295762142455,0.7443289119795269,red
horas,0.7941176470588235,0.1323529411764706,0.07352941176470588,-0.7205882352941176,99921,68,6.954718216068412,2.0086759356665804,red
tan,0.79,0.145,0.065,-0.7250000000000001,575770,200,32.45535167498593,11.660368674488442,red
parece,0.7857142857142857,0.16666666666666666,0.047619047619047616,-0.7380952380952381,32464,42,1.9318661711301148,0.6404388749966908,red
check,0.7903225806451613,0.16129032258064516,0.04838709677419355,-0.7419354838709677,26133,62,5.7955985133903445,0.5120265704011547,red
tras,0.8046875,0.1328125,0.0625,-0.7421875,346210,128,18.545915242849098,7.004180293039819,red
web,0.7804878048780488,0.18699186991869918,0.032520325203252036,-0.7479674796747968,158692,123,17.579982157284046,3.2007339918005635,red
mano,0.7837837837837838,0.1891891891891892,0.02702702702702703,-0.7567567567567568,80548,37,0.9659330855650574,1.6157314439702737,red
pagina,0.7903225806451613,0.1774193548387097,0.03225806451612903,-0.7580645161290323,123669,62,5.7955985133903445,2.4903589888232367,red
deja,0.7894736842105263,0.18421052631578946,0.02631578947368421,-0.7631578947368421,67645,76,8.500211152972504,1.3540186077364715,red
retraso,0.8166666666666667,0.13333333333333333,0.05,-0.7666666666666666,32914,60,5.409225279164321,0.6495662698897552,red
llevo,0.8163265306122449,0.14285714285714285,0.04081632653061224,-0.7755102040816326,29282,49,3.2841724909211956,0.5758980515528438,red
mismo,0.875,0.03125,0.09375,-0.78125,13217,32,0.0,0.25005005387044194,red
equipaje,0.7959183673469388,0.19387755102040816,0.01020408163265306,-0.7857142857142857,442893,98,12.750316729458758,8.965211227364604,red
esperando,0.8717948717948718,0.05128205128205128,0.07692307692307693,-0.7948717948717949,10089,39,1.35230631979108,0.18660451781376264,red
pasajero,0.8333333333333334,0.13636363636363635,0.030303030303030304,-0.8030303030303031,37058,66,6.568344981842389,0.7336194353049978,red
van,0.8333333333333334,0.1388888888888889,0.027777777777777776,-0.8055555555555556,27894,36,0.7727464684520461,0.5477451090826805,red
pues,0.8580645161290322,0.09032258064516129,0.05161290322580645,-0.8064516129032258,72714,155,23.76195390490041,1.4568336404319022,red
cliente,0.8674698795180723,0.07228915662650602,0.060240963855421686,-0.8072289156626506,131622,83,9.852517472763585,2.6516704812333294,red
aun,0.84375,0.125,0.03125,-0.8125,425067,32,0.0,8.603644691000675,red
favor,0.8352941176470589,0.15294117647058825,0.011764705882352941,-0.823529411764706,31956,85,10.238890706989608,0.6301350603174091,red
asiento,0.8478260869565217,0.13043478260869565,0.021739130434782608,-0.8260869565217391,71467,46,2.70461263958216,1.4315406150282326,red
mal,0.8525179856115108,0.1223021582733813,0.025179856115107913,-0.827338129496403,636328,278,47.52390780980082,12.888672629897775,red
cambiar,0.8285714285714286,0.17142857142857143,0.0,-0.8285714285714286,14788,35,0.5795598513390348,0.2819148035971182,red
reclamacion,0.8688524590163934,0.09836065573770492,0.03278688524590164,-0.8360655737704917,184540,61,5.602411896277333,3.725011554458187,red
telefono,0.875,0.1,0.025,-0.85,12920,40,1.5454929369040922,0.2440259732410194,red
maleta,0.8762886597938144,0.10309278350515463,0.020618556701030927,-0.8556701030927835,311874,194,31.296231972307858,6.307739779599236,red
intentando,0.8611111111111112,0.1388888888888889,0.0,-0.8611111111111112,11162,36,0.7727464684520461,0.20836828385878084,red
estan,0.8888888888888888,0.1111111111111111,0.0,-0.8888888888888888,6255,36,0.7727464684520461,0.1088391133248533,red
maletas,0.9146341463414634,0.06097560975609756,0.024390243902439025,-0.8902439024390244,126328,82,9.659330855650573,2.5442917510913667,red
pasajeros,0.9074074074074074,0.09259259259259259,0.0,-0.9074074074074074,34442,54,4.250105576486252,0.6805588463266498,red
despues,0.9333333333333333,0.044444444444444446,0.022222222222222223,-0.9111111111111111,13689,45,2.5114260224691485,0.2596236769582785,red
dinero,0.94,0.06,0.0,-0.94,7566,50,3.477359108034207,0.13543025711331447,red
demora,0.9722222222222222,0.027777777777777776,0.0,-0.9722222222222222,889,36,0.7727464684520461,0.0,red
verguenza,1.0,0.0,0.0,-1.0,28075,46,2.70461263958216,0.5514163501396686,red
