,tweet_IDs,user_followers
514,947485034235219969,574
515,944461491482144768,11637
516,935632033338023937,9
517,943160017280225280,346
518,944249319552684033,79
519,945766406410432514,1404
520,948992681694425088,193
521,940808758787272705,17326
522,926786921149247496,13
523,945665954028982274,158
524,933760753252929537,18
525,941232204943896577,0
526,933441087083044865,385
527,936250603247988736,224
528,930562709267021825,10
529,948978713512808448,1228
530,937408555002617857,0
531,948108675427774465,72
532,934096678889644032,3011
533,948964128642752512,448
534,943069887626399744,409
535,936507498814754817,28
536,923899043213926400,240
537,934460962526154752,692
538,935196398479396864,1709
539,950382976168275970,4328
540,947472706018127873,200
541,941612212682182656,937
542,926894893548621824,1799
543,934832220048674816,282
544,923864179966119936,40
545,943218716640268294,239
546,948657902977536001,20
547,945515246243975170,199
548,941032458178453504,402
549,947492756544466946,617
550,941620277796069376,1580
551,946299163075063808,252
552,941624247046361088,2128
553,925279929922703360,53
554,936162686290685952,1172
555,942504224918732801,55
556,941411176822423552,1900
557,948543516325613576,205
558,948928985802641408,83
559,936835057364299778,1266
560,932712975789625344,224
561,934183611422658560,641
562,932918371842166785,123
563,930444113186643969,200
564,932788719744151552,353
565,935831063091470337,0
566,940673409339547648,655
567,940673707621670913,181
568,948134686965903360,150
569,941634777559511040,1035
570,930129383867678721,67
571,931487175367188480,595
572,933294475052572672,42
573,948154695155179521,4182
574,935957807458848768,0
575,933681061833342976,929
576,926796762450419712,3895
577,927967580412956672,27
578,927237527454482432,29
579,940568313830236161,0
580,933485911303745536,118
581,946142475890188288,28
582,936625590517555200,239
583,942120699501666305,8
584,936009222730518530,149
585,923322710754816000,706
586,925280421545500672,3789
587,924972387103334401,2217
588,935827621153329152,217
589,938070933113397248,7
590,950400945720037379,6068
591,944043138095747073,57
592,950334638895091712,136
593,948265609040719873,120
594,930058015646068740,536
595,927856847507222528,0
596,927992441684332544,361
597,935941904625274886,171
598,923128058646814720,163
599,931522215660720129,331
600,933668885202636801,1497
601,944626603958693888,34
602,946132100952068101,180
603,925077354900312064,10167
604,937069333821448192,4632
605,945994850062815232,96
606,945584011543547904,50
607,933041344829886466,4105
608,945483156089724928,43162
609,930440870880514048,274
610,938348357172547584,117800
611,947128934705123335,160
612,942692818023100416,291
613,932913814856757248,23
614,948665858854981632,988
615,926713864728858624,2380
616,944923051958898688,0
617,944244278884290560,738
